x,y,mut
 9.700000000E-01, 2.074744460E-04, 1.087880438E+01
 9.700000000E-01, 2.139195848E-04, 1.132196261E+01
 9.700000000E-01, 2.205637353E-04, 1.177967751E+01
 9.700000000E-01, 2.274130784E-04, 1.225236925E+01
 9.700000000E-01, 2.344739863E-04, 1.274046940E+01
 9.700000000E-01, 2.417530277E-04, 1.324442107E+01
 9.700000000E-01, 2.492569744E-04, 1.376467920E+01
 9.700000000E-01, 2.569928074E-04, 1.430171076E+01
 9.700000000E-01, 2.649677234E-04, 1.485599495E+01
 9.700000000E-01, 2.731891416E-04, 1.542802345E+01
 9.700000000E-01, 2.816647104E-04, 1.601830059E+01
 9.700000000E-01, 2.904023148E-04, 1.662734360E+01
 9.700000000E-01, 2.994100835E-04, 1.725568277E+01
 9.700000000E-01, 3.086963964E-04, 1.790386165E+01
 9.700000000E-01, 3.182698926E-04, 1.857243722E+01
 9.700000000E-01, 3.281394786E-04, 1.926198008E+01
 9.700000000E-01, 3.383143362E-04, 1.997307460E+01
 9.700000000E-01, 3.488039309E-04, 2.070631904E+01
 9.700000000E-01, 3.596180216E-04, 2.146232571E+01
 9.700000000E-01, 3.707666685E-04, 2.224172105E+01
 9.700000000E-01, 3.822602435E-04, 2.304514572E+01
 9.700000000E-01, 3.941094390E-04, 2.387325472E+01
 9.700000000E-01, 4.063252786E-04, 2.472671735E+01
 9.700000000E-01, 4.189191268E-04, 2.560621729E+01
 9.700000000E-01, 4.319026996E-04, 2.651245258E+01
 9.700000000E-01, 4.452880760E-04, 2.744613555E+01
 9.700000000E-01, 4.590877084E-04, 2.840799275E+01
 9.700000000E-01, 4.733144347E-04, 2.939876485E+01
 9.700000000E-01, 4.879814904E-04, 3.041920645E+01
 9.700000000E-01, 5.031025201E-04, 3.147008588E+01
 9.700000000E-01, 5.186915913E-04, 3.255218497E+01
 9.700000000E-01, 5.347632065E-04, 3.366629869E+01
 9.700000000E-01, 5.513323174E-04, 3.481323477E+01
 9.700000000E-01, 5.684143384E-04, 3.599381331E+01
 9.700000000E-01, 5.860251610E-04, 3.720886622E+01
 9.700000000E-01, 6.041811688E-04, 3.845923664E+01
 9.700000000E-01, 6.228992525E-04, 3.974577825E+01
 9.700000000E-01, 6.421968257E-04, 4.106935452E+01
 9.700000000E-01, 6.620918412E-04, 4.243083782E+01
 9.700000000E-01, 6.826028075E-04, 4.383110845E+01
 9.700000000E-01, 7.037488061E-04, 4.527105356E+01
 9.700000000E-01, 7.255495094E-04, 4.675156589E+01
 9.700000000E-01, 7.480251988E-04, 4.827354246E+01
 9.700000000E-01, 7.711967837E-04, 4.983788301E+01
 9.700000000E-01, 7.950858208E-04, 5.144548839E+01
 9.700000000E-01, 8.197145343E-04, 5.309725869E+01
 9.700000000E-01, 8.451058367E-04, 5.479409125E+01
 9.700000000E-01, 8.712833496E-04, 5.653687841E+01
 9.700000000E-01, 8.982714263E-04, 5.832650512E+01
 9.700000000E-01, 9.260951740E-04, 6.016384624E+01
 9.700000000E-01, 9.547804775E-04, 6.204976367E+01
 9.700000000E-01, 9.843540231E-04, 6.398510318E+01
 9.700000000E-01, 1.014843323E-03, 6.597069096E+01
 9.700000000E-01, 1.046276742E-03, 6.800732985E+01
 9.700000000E-01, 1.078683524E-03, 7.009579529E+01
 9.700000000E-01, 1.112093815E-03, 7.223683091E+01
 9.700000000E-01, 1.146538699E-03, 7.443114369E+01
 9.700000000E-01, 1.182050219E-03, 7.667939883E+01
 9.700000000E-01, 1.218661412E-03, 7.898221412E+01
 9.700000000E-01, 1.256406339E-03, 8.134015387E+01
 9.700000000E-01, 1.295320114E-03, 8.375372241E+01
 9.700000000E-01, 1.335438937E-03, 8.622335699E+01
 9.700000000E-01, 1.376800134E-03, 8.874942026E+01
 9.700000000E-01, 1.419442181E-03, 9.133219206E+01
 9.700000000E-01, 1.463404750E-03, 9.397186064E+01
 9.700000000E-01, 1.508728740E-03, 9.666851328E+01
 9.700000000E-01, 1.555456315E-03, 9.942212616E+01
 9.700000000E-01, 1.603630947E-03, 1.022325535E+02
 9.700000000E-01, 1.653297453E-03, 1.050995161E+02
 9.700000000E-01, 1.704502039E-03, 1.080225888E+02
 9.700000000E-01, 1.757292340E-03, 1.110011871E+02
 9.700000000E-01, 1.811717468E-03, 1.140345535E+02
 9.700000000E-01, 1.867828056E-03, 1.171217420E+02
 9.700000000E-01, 1.925676303E-03, 1.202616021E+02
 9.700000000E-01, 1.985316026E-03, 1.234527621E+02
 9.700000000E-01, 2.046802709E-03, 1.266936105E+02
 9.700000000E-01, 2.110193553E-03, 1.299822771E+02
 9.700000000E-01, 2.175547532E-03, 1.333166127E+02
 9.700000000E-01, 2.242925446E-03, 1.366941671E+02
 9.700000000E-01, 2.312389975E-03, 1.401121671E+02
 9.700000000E-01, 2.384005744E-03, 1.435674920E+02
 9.700000000E-01, 2.457839379E-03, 1.470566487E+02
 9.700000000E-01, 2.533959566E-03, 1.505757449E+02
 9.700000000E-01, 2.612437122E-03, 1.541204619E+02
 9.700000000E-01, 2.693345054E-03, 1.576860251E+02
 9.700000000E-01, 2.776758633E-03, 1.612671741E+02
 9.700000000E-01, 2.862755459E-03, 1.648581311E+02
 9.700000000E-01, 2.951415535E-03, 1.684525684E+02
 9.700000000E-01, 3.042821343E-03, 1.720435751E+02
 9.700000000E-01, 3.137057920E-03, 1.756236216E+02
 9.700000000E-01, 3.234212933E-03, 1.791845252E+02
 9.700000000E-01, 3.334376767E-03, 1.827174132E+02
 9.700000000E-01, 3.437642606E-03, 1.862126866E+02
 9.700000000E-01, 3.544106519E-03, 1.896599832E+02
 9.700000000E-01, 3.653867550E-03, 1.930481409E+02
 9.700000000E-01, 3.767027811E-03, 1.963651613E+02
 9.700000000E-01, 3.883692577E-03, 1.995981743E+02
 9.700000000E-01, 4.003970382E-03, 2.027334042E+02
 9.700000000E-01, 4.127973121E-03, 2.057561374E+02
 9.700000000E-01, 4.255816156E-03, 2.086506935E+02
 9.700000000E-01, 4.387618419E-03, 2.114003994E+02
 9.700000000E-01, 4.523502529E-03, 2.139875688E+02
 9.700000000E-01, 4.663594900E-03, 2.163934866E+02
