x,y,F1,F2
    0.9700840484E+00,    0.2074744460E-03,    0.9999999998E+00,    0.1000000000E+01
    0.9700840484E+00,    0.2139195848E-03,    0.9999999999E+00,    0.1000000000E+01
    0.9700840484E+00,    0.2205637353E-03,    0.9999999999E+00,    0.1000000000E+01
    0.9700840484E+00,    0.2274130784E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2344739863E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2417530277E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2492569744E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2569928074E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2649677234E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2731891416E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2816647104E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2904023148E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2994100835E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3086963964E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3182698926E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3281394786E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3383143362E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3488039309E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3596180216E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3707666685E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3822602435E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3941094390E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4063252786E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4189191268E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4319026996E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4452880760E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4590877084E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4733144347E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4879814904E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5031025201E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5186915913E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5347632065E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5513323174E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5684143384E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5860251610E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6041811688E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6228992525E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6421968257E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6620918412E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6826028075E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7037488061E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7255495094E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7480251988E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7711967837E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7950858208E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.8197145343E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.8451058367E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.8712833496E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.8982714263E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.9260951740E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.9547804775E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.9843540231E-03,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1014843323E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1046276742E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1078683524E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1112093815E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1146538699E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1182050219E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1218661412E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1256406339E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1295320114E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1335438937E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1376800134E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1419442181E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1463404750E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1508728740E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1555456315E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1603630947E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1653297453E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1704502039E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1757292340E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1811717468E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1867828056E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1925676303E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1985316026E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2046802709E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2110193553E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2175547532E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2242925446E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2312389975E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2384005744E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2457839379E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2533959566E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2612437122E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2693345054E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2776758633E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2862755459E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2951415535E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3042821343E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3137057920E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3234212933E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3334376767E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3437642606E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3544106519E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3653867550E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3767027811E-02,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3883692577E-02,    0.9999999999E+00,    0.1000000000E+01
    0.9700840484E+00,    0.4003970382E-02,    0.9999999996E+00,    0.1000000000E+01
    0.9700840484E+00,    0.4127973121E-02,    0.9999999989E+00,    0.1000000000E+01
    0.9700840484E+00,    0.4255816156E-02,    0.9999999968E+00,    0.1000000000E+01
    0.9700840484E+00,    0.4387618419E-02,    0.9999999908E+00,    0.1000000000E+01
    0.9700840484E+00,    0.4523502529E-02,    0.9999999735E+00,    0.9999999999E+00
    0.9700840484E+00,    0.4663594900E-02,    0.9999999238E+00,    0.9999999999E+00
    0.9700840484E+00,    0.4808025860E-02,    0.9999997834E+00,    0.9999999997E+00
    0.9700840484E+00,    0.4956929776E-02,    0.9999993930E+00,    0.9999999994E+00
    0.9700840484E+00,    0.5110445174E-02,    0.9999983304E+00,    0.9999999987E+00
    0.9700840484E+00,    0.5268714871E-02,    0.9999955127E+00,    0.9999999973E+00
    0.9700840484E+00,    0.5431886107E-02,    0.9999882602E+00,    0.9999999941E+00
    0.9700840484E+00,    0.5600110683E-02,    0.9999701984E+00,    0.9999999872E+00
    0.9700840484E+00,    0.5773545098E-02,    0.9999268021E+00,    0.9999999721E+00
    0.9700840484E+00,    0.5952350701E-02,    0.9998264736E+00,    0.9999999387E+00
    0.9700840484E+00,    0.6136693837E-02,    0.9996038098E+00,    0.9999998657E+00
    0.9700840484E+00,    0.6326746002E-02,    0.9991304330E+00,    0.9999997057E+00
    0.9700840484E+00,    0.6522684003E-02,    0.9981682450E+00,    0.9999993572E+00
    0.9700840484E+00,    0.6724690123E-02,    0.9963017160E+00,    0.9999986028E+00
    0.9700840484E+00,    0.6932952291E-02,    0.9928519551E+00,    0.9999969834E+00
    0.9700840484E+00,    0.7147664256E-02,    0.9867877110E+00,    0.9999935426E+00
    0.9700840484E+00,    0.7369025765E-02,    0.9766668803E+00,    0.9999863208E+00
    0.9700840484E+00,    0.7597242754E-02,    0.9606610726E+00,    0.9999713769E+00
    0.9700840484E+00,    0.7832527535E-02,    0.9367219305E+00,    0.9999409488E+00
    0.9700840484E+00,    0.8075098997E-02,    0.9029220608E+00,    0.9998801019E+00
    0.9700840484E+00,    0.8325182805E-02,    0.8579338385E+00,    0.9997608287E+00
    0.9700840484E+00,    0.8583011616E-02,    0.8015143270E+00,    0.9995320601E+00
    0.9700840484E+00,    0.8848825290E-02,    0.7348025863E+00,    0.9991034886E+00
    0.9700840484E+00,    0.9122871116E-02,    0.6602714469E+00,    0.9983206728E+00
    0.9700840484E+00,    0.9405404043E-02,    0.5813134713E+00,    0.9969288875E+00
    0.9700840484E+00,    0.9696686912E-02,    0.5015986210E+00,    0.9945235631E+00
    0.9700840484E+00,    0.9996990708E-02,    0.4047297119E+00,    0.9904765513E+00
    0.9700840484E+00,    0.1030659481E-01,    0.2833197429E+00,    0.9838242017E+00
    0.9700840484E+00,    0.1062578724E-01,    0.1829348655E+00,    0.9731177774E+00
    0.9700840484E+00,    0.1095486494E-01,    0.1163804414E+00,    0.9561193173E+00
    0.9700840484E+00,    0.1129413407E-01,    0.6219466524E-01,    0.9292955765E+00
    0.9700840484E+00,    0.1164391025E-01,    0.2524646931E-01,    0.8875269895E+00
    0.9700840484E+00,    0.1200451888E-01,    0.7359226399E-02,    0.8244382195E+00
    0.9700840484E+00,    0.1237629543E-01,    0.1413056903E-02,    0.7336575951E+00
    0.9700840484E+00,    0.1275958577E-01,    0.1510033766E-03,    0.6120090012E+00
    0.9700840484E+00,    0.1315474649E-01,    0.6847573382E-05,    0.4657907698E+00
    0.9700840484E+00,    0.1356214521E-01,    0.1031338455E-06,    0.3194759233E+00
    0.9700840484E+00,    0.1398216092E-01,    0.8652077123E-09,    0.2044625817E+00
    0.9700840484E+00,    0.1441518438E-01,    0.1141556800E-10,    0.1136336328E+00
    0.9700840484E+00,    0.1486161844E-01,    0.3509162906E-10,    0.3970834647E-01
    0.9700840484E+00,    0.1532187841E-01,    0.1212059450E-05,    0.6278902669E-02
    0.9700840484E+00,    0.1579639248E-01,    0.3242308101E-05,    0.2140395225E-02
    0.9700840484E+00,    0.1628560209E-01,    0.3622072756E-05,    0.1899620316E-02
    0.9700840484E+00,    0.1678996237E-01,    0.2838995270E-05,    0.1681768664E-02
    0.9700840484E+00,    0.1730994252E-01,    0.2224377147E-05,    0.1488633941E-02
    0.9700840484E+00,    0.1784602628E-01,    0.1742773066E-05,    0.1317662462E-02
    0.9700840484E+00,    0.1839871239E-01,    0.1365439521E-05,    0.1166326227E-02
    0.9700840484E+00,    0.1896851501E-01,    0.1069803497E-05,    0.1032371142E-02
    0.9700840484E+00,    0.1955596422E-01,    0.8381765693E-06,    0.9138010249E-03
    0.9700840484E+00,    0.2016160655E-01,    0.6566999459E-06,    0.8088488993E-03
    0.9700840484E+00,    0.2078600543E-01,    0.5145154321E-06,    0.7159507219E-03
    0.9700840484E+00,    0.2142974175E-01,    0.4031157713E-06,    0.6337220802E-03
    0.9700840484E+00,    0.2209341436E-01,    0.3158356377E-06,    0.5609375621E-03
    0.9700840484E+00,    0.2277764071E-01,    0.2474528345E-06,    0.4965124949E-03
    0.9700840484E+00,    0.2348305733E-01,    0.1938758387E-06,    0.4394867818E-03
    0.9700840484E+00,    0.2421032048E-01,    0.1518989952E-06,    0.3890105940E-03
    0.9700840484E+00,    0.2496010673E-01,    0.1190107155E-06,    0.3443317068E-03
    0.9700840484E+00,    0.2573311363E-01,    0.9324320302E-07,    0.3047842896E-03
    0.9700840484E+00,    0.2653006030E-01,    0.7305471518E-07,    0.2697789831E-03
    0.9700840484E+00,    0.2735168816E-01,    0.5723731719E-07,    0.2387941172E-03
    0.9700840484E+00,    0.2819876157E-01,    0.4484460827E-07,    0.2113679363E-03
    0.9700840484E+00,    0.2907206858E-01,    0.3513509614E-07,    0.1870917182E-03
    0.9700840484E+00,    0.2997242163E-01,    0.2752783156E-07,    0.1656036832E-03
    0.9700840484E+00,    0.3090065833E-01,    0.2156764871E-07,    0.1465836026E-03
    0.9700840484E+00,    0.3185764223E-01,    0.1689793134E-07,    0.1297480265E-03
    0.9700840484E+00,    0.3284426362E-01,    0.1323927553E-07,    0.1148460599E-03
    0.9700840484E+00,    0.3386144036E-01,    0.1037277214E-07,    0.1016556234E-03
    0.9700840484E+00,    0.3491011874E-01,    0.8126908881E-08,    0.8998014401E-04
    0.9700840484E+00,    0.3599127436E-01,    0.6367308278E-08,    0.7964562532E-04
    0.9700840484E+00,    0.3710591303E-01,    0.4988687451E-08,    0.7049805493E-04
    0.9700840484E+00,    0.3825507171E-01,    0.3908558747E-08,    0.6240110899E-04
    0.9700840484E+00,    0.3943981948E-01,    0.3062294259E-08,    0.5523412076E-04
    0.9700840484E+00,    0.4066125851E-01,    0.2399258942E-08,    0.4988011866E-04
    0.9700840484E+00,    0.4192052512E-01,    0.1879780966E-08,    0.4647423652E-04
    0.9700840484E+00,    0.4321879083E-01,    0.1472778022E-08,    0.4372399514E-04
    0.9700840484E+00,    0.4455726341E-01,    0.1153897575E-08,    0.4113650515E-04
    0.9700840484E+00,    0.4593718808E-01,    0.9040597695E-09,    0.3870213544E-04
    0.9700840484E+00,    0.4735984857E-01,    0.7083158189E-09,    0.3641182484E-04
    0.9700840484E+00,    0.4882656842E-01,    0.5549535712E-09,    0.3425704840E-04
    0.9700840484E+00,    0.5033871212E-01,    0.4347967303E-09,    0.3222978564E-04
    0.9700840484E+00,    0.5189768644E-01,    0.3406558062E-09,    0.3032249070E-04
    0.9700840484E+00,    0.5350494170E-01,    0.2668979426E-09,    0.2852806427E-04
    0.9700840484E+00,    0.5516197316E-01,    0.2091098826E-09,    0.2683982714E-04
    0.9700840484E+00,    0.5687032236E-01,    0.1638339076E-09,    0.2525149537E-04
    0.9700840484E+00,    0.5863157861E-01,    0.1283609484E-09,    0.2375715686E-04
    0.9700840484E+00,    0.6044738041E-01,    0.1005684921E-09,    0.2235124939E-04
    0.9700840484E+00,    0.6231941702E-01,    0.7879358305E-10,    0.2102853988E-04
    0.9700840484E+00,    0.6424943002E-01,    0.6173332219E-10,    0.1978410493E-04
    0.9700840484E+00,    0.6623921492E-01,    0.4836690893E-10,    0.1861331250E-04
    0.9700840484E+00,    0.6829062284E-01,    0.3789456258E-10,    0.1751180464E-04
    0.9700840484E+00,    0.7040556222E-01,    0.2968966805E-10,    0.1647548131E-04
    0.9700840484E+00,    0.7258600061E-01,    0.2326128276E-10,    0.1550048507E-04
    0.9700840484E+00,    0.7483396650E-01,    0.1822476139E-10,    0.1458318678E-04
    0.9700840484E+00,    0.7715155119E-01,    0.1427874080E-10,    0.1372017204E-04
    0.9700840484E+00,    0.7954091076E-01,    0.1119649780E-10,    0.1290822852E-04
    0.9700840484E+00,    0.8200426804E-01,    0.9256036446E-11,    0.1214433397E-04
    0.9700840484E+00,    0.8454391473E-01,    0.8166761083E-11,    0.1142564498E-04
    0.9700840484E+00,    0.8716221349E-01,    0.7228760441E-11,    0.1074948644E-04
    0.9700840484E+00,    0.8986160014E-01,    0.6398493694E-11,    0.1011334150E-04
    0.9700840484E+00,    0.9264458596E-01,    0.5663587177E-11,    0.9514842277E-05
    0.9700840484E+00,    0.9551375998E-01,    0.5013088383E-11,    0.8951761005E-05
    0.9700840484E+00,    0.9847179142E-01,    0.4437302735E-11,    0.8422001749E-05
    0.9700840484E+00,    0.1015214322E+00,    0.3927649113E-11,    0.7923592604E-05
    0.9700840484E+00,    0.1046655193E+00,    0.3476531968E-11,    0.7454678357E-05
    0.9700840484E+00,    0.1079069779E+00,    0.3077228127E-11,    0.7013513582E-05
    0.9700840484E+00,    0.1112488235E+00,    0.2723786596E-11,    0.6598456139E-05
    0.9700840484E+00,    0.1146941649E+00,    0.2410939878E-11,    0.6207961066E-05
    0.9700840484E+00,    0.1182462075E+00,    0.2134025465E-11,    0.5840574829E-05
    0.9700840484E+00,    0.1219082558E+00,    0.1888916359E-11,    0.5494929906E-05
    0.9700840484E+00,    0.1256837165E+00,    0.1671959561E-11,    0.5169739703E-05
    0.9700840484E+00,    0.1295761021E+00,    0.1479921637E-11,    0.4863793763E-05
