u,y
   0.716826E+00,   0.181172E-02
   0.719924E+00,   0.186783E-02
   0.723030E+00,   0.192568E-02
   0.726143E+00,   0.198532E-02
   0.729263E+00,   0.204680E-02
   0.732392E+00,   0.211019E-02
   0.735531E+00,   0.217555E-02
   0.738679E+00,   0.224293E-02
   0.741837E+00,   0.231239E-02
   0.745006E+00,   0.238401E-02
   0.748187E+00,   0.245784E-02
   0.751380E+00,   0.253396E-02
   0.754587E+00,   0.261244E-02
   0.757807E+00,   0.269335E-02
   0.761042E+00,   0.277676E-02
   0.764293E+00,   0.286276E-02
   0.767561E+00,   0.295142E-02
   0.770846E+00,   0.304282E-02
   0.774149E+00,   0.313706E-02
   0.777473E+00,   0.323421E-02
   0.780817E+00,   0.333438E-02
   0.784183E+00,   0.343764E-02
   0.787573E+00,   0.354411E-02
   0.790987E+00,   0.365387E-02
   0.794428E+00,   0.376703E-02
   0.797895E+00,   0.388369E-02
   0.801392E+00,   0.400397E-02
   0.804920E+00,   0.412797E-02
   0.808480E+00,   0.425582E-02
   0.812075E+00,   0.438762E-02
   0.815706E+00,   0.452350E-02
   0.819375E+00,   0.466359E-02
   0.823086E+00,   0.480803E-02
   0.826842E+00,   0.495693E-02
   0.830653E+00,   0.511044E-02
   0.834527E+00,   0.526871E-02
   0.838471E+00,   0.543189E-02
   0.842489E+00,   0.560011E-02
   0.846584E+00,   0.577355E-02
   0.850758E+00,   0.595235E-02
   0.855014E+00,   0.613669E-02
   0.859355E+00,   0.632675E-02
   0.863784E+00,   0.652268E-02
   0.868307E+00,   0.672469E-02
   0.872929E+00,   0.693295E-02
   0.877660E+00,   0.714766E-02
   0.882509E+00,   0.736903E-02
   0.887487E+00,   0.759724E-02
   0.892606E+00,   0.783253E-02
   0.897881E+00,   0.807510E-02
   0.903323E+00,   0.832518E-02
   0.908941E+00,   0.858301E-02
   0.914737E+00,   0.884883E-02
   0.920703E+00,   0.912287E-02
   0.926810E+00,   0.940540E-02
   0.933004E+00,   0.969669E-02
   0.939203E+00,   0.999699E-02
   0.945297E+00,   0.103066E-01
   0.951190E+00,   0.106258E-01
   0.956874E+00,   0.109549E-01
   0.962450E+00,   0.112941E-01
   0.968026E+00,   0.116439E-01
   0.973619E+00,   0.120045E-01
   0.979192E+00,   0.123763E-01
   0.984666E+00,   0.127596E-01
   0.989862E+00,   0.131547E-01
   0.994315E+00,   0.135621E-01
   0.997235E+00,   0.139822E-01
   0.998381E+00,   0.144152E-01
   0.998559E+00,   0.148616E-01
   0.998553E+00,   0.153219E-01
   0.998551E+00,   0.157964E-01
   0.998551E+00,   0.162856E-01
   0.998551E+00,   0.167900E-01
   0.998550E+00,   0.173099E-01
   0.998550E+00,   0.178460E-01
   0.998550E+00,   0.183987E-01
   0.998550E+00,   0.189685E-01
   0.998550E+00,   0.195560E-01
   0.998550E+00,   0.201616E-01
   0.998550E+00,   0.207860E-01
   0.998549E+00,   0.214297E-01
   0.998549E+00,   0.220934E-01
   0.998549E+00,   0.227776E-01
   0.998549E+00,   0.234831E-01
   0.998549E+00,   0.242103E-01
   0.998548E+00,   0.249601E-01
   0.998548E+00,   0.257331E-01
   0.998548E+00,   0.265301E-01
   0.998548E+00,   0.273517E-01
   0.998547E+00,   0.281988E-01
   0.998547E+00,   0.290721E-01
   0.998547E+00,   0.299724E-01
   0.998547E+00,   0.309007E-01
   0.998546E+00,   0.318576E-01
   0.998546E+00,   0.328443E-01
   0.998546E+00,   0.338614E-01
   0.998545E+00,   0.349101E-01
   0.998545E+00,   0.359913E-01
   0.998545E+00,   0.371059E-01
   0.998545E+00,   0.382551E-01
   0.998544E+00,   0.394398E-01
   0.998544E+00,   0.406613E-01
   0.998543E+00,   0.419205E-01
   0.998543E+00,   0.432188E-01
   0.998543E+00,   0.445573E-01
   0.998542E+00,   0.459372E-01
   0.998542E+00,   0.473599E-01
   0.998541E+00,   0.488266E-01
   0.998541E+00,   0.503387E-01
   0.998541E+00,   0.518977E-01
   0.998540E+00,   0.535049E-01
   0.998540E+00,   0.551620E-01
   0.998539E+00,   0.568703E-01
   0.998539E+00,   0.586316E-01
   0.998538E+00,   0.604474E-01
   0.998538E+00,   0.623194E-01
   0.998537E+00,   0.642494E-01
   0.998536E+00,   0.662392E-01
   0.998536E+00,   0.682906E-01
   0.998535E+00,   0.704056E-01
   0.998535E+00,   0.725860E-01
   0.998534E+00,   0.748340E-01
   0.998533E+00,   0.771516E-01
   0.998533E+00,   0.795409E-01
   0.998532E+00,   0.820043E-01
   0.998531E+00,   0.845439E-01
   0.998530E+00,   0.871622E-01
   0.998530E+00,   0.898616E-01
   0.998529E+00,   0.926446E-01
   0.998528E+00,   0.955138E-01
   0.998527E+00,   0.984718E-01
   0.998527E+00,   0.101521E+00
   0.998526E+00,   0.104666E+00
   0.998525E+00,   0.107907E+00
   0.998524E+00,   0.111249E+00
   0.998523E+00,   0.114694E+00
   0.998522E+00,   0.118246E+00
   0.998521E+00,   0.121908E+00
   0.998520E+00,   0.125684E+00
   0.998519E+00,   0.129576E+00
   0.998518E+00,   0.133589E+00
   0.998516E+00,   0.137726E+00
   0.998515E+00,   0.141992E+00
   0.998514E+00,   0.146389E+00
   0.998513E+00,   0.150923E+00
   0.998512E+00,   0.155597E+00
   0.998511E+00,   0.160415E+00
   0.998509E+00,   0.165383E+00
   0.998508E+00,   0.170505E+00
   0.998507E+00,   0.175786E+00
   0.998505E+00,   0.181230E+00
   0.998504E+00,   0.186843E+00
   0.998502E+00,   0.192629E+00
   0.998501E+00,   0.198595E+00
   0.998499E+00,   0.204745E+00
   0.998498E+00,   0.211086E+00
   0.998496E+00,   0.217623E+00
   0.998494E+00,   0.224363E+00
   0.998493E+00,   0.231311E+00
   0.998491E+00,   0.238475E+00
   0.998489E+00,   0.245860E+00
   0.998487E+00,   0.253475E+00
   0.998486E+00,   0.261325E+00
   0.998484E+00,   0.269418E+00
   0.998482E+00,   0.277762E+00
   0.998480E+00,   0.286364E+00
   0.998478E+00,   0.295232E+00
   0.998476E+00,   0.304376E+00
   0.998474E+00,   0.313802E+00
   0.998471E+00,   0.323521E+00
   0.998469E+00,   0.333540E+00
   0.998467E+00,   0.343869E+00
   0.998465E+00,   0.354519E+00
   0.998463E+00,   0.365498E+00
   0.998460E+00,   0.376818E+00
   0.998458E+00,   0.388488E+00
   0.998455E+00,   0.400519E+00
   0.998453E+00,   0.412923E+00
   0.998450E+00,   0.425711E+00
   0.998448E+00,   0.438895E+00
   0.998445E+00,   0.452488E+00
   0.998442E+00,   0.466501E+00
   0.998439E+00,   0.480948E+00
   0.998436E+00,   0.495843E+00
   0.998434E+00,   0.511199E+00
   0.998430E+00,   0.527031E+00
   0.998427E+00,   0.543353E+00
   0.998424E+00,   0.560180E+00
   0.998421E+00,   0.577529E+00
   0.998418E+00,   0.595415E+00
   0.998414E+00,   0.613855E+00
   0.998410E+00,   0.632866E+00
   0.998406E+00,   0.652465E+00
   0.998403E+00,   0.672672E+00
   0.998398E+00,   0.693504E+00
   0.998394E+00,   0.714982E+00
   0.998390E+00,   0.737125E+00
   0.998385E+00,   0.759953E+00
   0.998380E+00,   0.783489E+00
   0.998375E+00,   0.807753E+00
   0.998369E+00,   0.832769E+00
   0.998363E+00,   0.858560E+00
   0.998356E+00,   0.885149E+00
   0.998351E+00,   0.912562E+00
   0.998337E+00,   0.940824E+00
   0.998337E+00,   0.969961E+00
   0.998349E+00,   0.100000E+01
