x,y,sdr,tke
    0.9700840484E+00,    0.5655453931E-04,    0.7740358546E-04,    0.9554313832E-04
    0.9700840484E+00,    0.5837701157E-04,    0.7423488515E-04,    0.9853532168E-04
    0.9700840484E+00,    0.6025379256E-04,    0.7120269656E-04,    0.1014529323E-03
    0.9700840484E+00,    0.6218662827E-04,    0.6829992355E-04,    0.1042925910E-03
    0.9700840484E+00,    0.6417731683E-04,    0.6552015378E-04,    0.1070515935E-03
    0.9700840484E+00,    0.6622771021E-04,    0.6285755410E-04,    0.1097278871E-03
    0.9700840484E+00,    0.6833971589E-04,    0.6030678419E-04,    0.1123200327E-03
    0.9700840484E+00,    0.7051529871E-04,    0.5786292376E-04,    0.1148271619E-03
    0.9700840484E+00,    0.7275648264E-04,    0.5552141154E-04,    0.1172489305E-03
    0.9700840484E+00,    0.7506535266E-04,    0.5327799447E-04,    0.1195854711E-03
    0.9700840484E+00,    0.7744405674E-04,    0.5112868592E-04,    0.1218373463E-03
    0.9700840484E+00,    0.7989480782E-04,    0.4906973135E-04,    0.1240055027E-03
    0.9700840484E+00,    0.8241988585E-04,    0.4709757904E-04,    0.1260912289E-03
    0.9700840484E+00,    0.8502163994E-04,    0.4520885851E-04,    0.1280961145E-03
    0.9700840484E+00,    0.8770249053E-04,    0.4340036760E-04,    0.1300220079E-03
    0.9700840484E+00,    0.9046493164E-04,    0.4166906110E-04,    0.1318709822E-03
    0.9700840484E+00,    0.9331153320E-04,    0.4001203976E-04,    0.1336453095E-03
    0.9700840484E+00,    0.9624494343E-04,    0.3842653999E-04,    0.1353474397E-03
    0.9700840484E+00,    0.9926789131E-04,    0.3690991854E-04,    0.1369799882E-03
    0.9700840484E+00,    0.1023831891E-03,    0.3545961885E-04,    0.1385457365E-03
    0.9700840484E+00,    0.1055937351E-03,    0.3407308964E-04,    0.1400476590E-03
    0.9700840484E+00,    0.1089025159E-03,    0.3274758780E-04,    0.1414889959E-03
    0.9700840484E+00,    0.1123126099E-03,    0.3147987471E-04,    0.1428733257E-03
    0.9700840484E+00,    0.1158271895E-03,    0.3026656793E-04,    0.1442041077E-03
    0.9700840484E+00,    0.1194495242E-03,    0.2910485065E-04,    0.1454838161E-03
    0.9700840484E+00,    0.1231829841E-03,    0.2799234429E-04,    0.1467142246E-03
    0.9700840484E+00,    0.1270310424E-03,    0.2692678484E-04,    0.1478970753E-03
    0.9700840484E+00,    0.1309972789E-03,    0.2590601726E-04,    0.1490340736E-03
    0.9700840484E+00,    0.1350853835E-03,    0.2492799021E-04,    0.1501268842E-03
    0.9700840484E+00,    0.1392991595E-03,    0.2399075107E-04,    0.1511771278E-03
    0.9700840484E+00,    0.1436425268E-03,    0.2309244115E-04,    0.1521863782E-03
    0.9700840484E+00,    0.1481195263E-03,    0.2223129122E-04,    0.1531561610E-03
    0.9700840484E+00,    0.1527343229E-03,    0.2140561708E-04,    0.1540879526E-03
    0.9700840484E+00,    0.1574912098E-03,    0.2061381559E-04,    0.1549831787E-03
    0.9700840484E+00,    0.1623946124E-03,    0.1985436073E-04,    0.1558432151E-03
    0.9700840484E+00,    0.1674490923E-03,    0.1912579990E-04,    0.1566693869E-03
    0.9700840484E+00,    0.1726593518E-03,    0.1842675027E-04,    0.1574629694E-03
    0.9700840484E+00,    0.1780302381E-03,    0.1775589545E-04,    0.1582251885E-03
    0.9700840484E+00,    0.1835667477E-03,    0.1711198218E-04,    0.1589572215E-03
    0.9700840484E+00,    0.1892740313E-03,    0.1649381728E-04,    0.1596601982E-03
    0.9700840484E+00,    0.1951573985E-03,    0.1590026468E-04,    0.1603352019E-03
    0.9700840484E+00,    0.2012223227E-03,    0.1533024259E-04,    0.1609832705E-03
    0.9700840484E+00,    0.2074744460E-03,    0.1478272085E-04,    0.1616053976E-03
    0.9700840484E+00,    0.2139195848E-03,    0.1425671836E-04,    0.1622025340E-03
    0.9700840484E+00,    0.2205637353E-03,    0.1375130062E-04,    0.1627755891E-03
    0.9700840484E+00,    0.2274130784E-03,    0.1326557745E-04,    0.1633254318E-03
    0.9700840484E+00,    0.2344739863E-03,    0.1279870078E-04,    0.1638528921E-03
    0.9700840484E+00,    0.2417530277E-03,    0.1234986251E-04,    0.1643587625E-03
    0.9700840484E+00,    0.2492569744E-03,    0.1191829259E-04,    0.1648437989E-03
    0.9700840484E+00,    0.2569928074E-03,    0.1150325706E-04,    0.1653087224E-03
    0.9700840484E+00,    0.2649677234E-03,    0.1110405627E-04,    0.1657542200E-03
    0.9700840484E+00,    0.2731891416E-03,    0.1072002321E-04,    0.1661809463E-03
    0.9700840484E+00,    0.2816647104E-03,    0.1035052180E-04,    0.1665895244E-03
    0.9700840484E+00,    0.2904023148E-03,    0.9994945432E-05,    0.1669805470E-03
    0.9700840484E+00,    0.2994100835E-03,    0.9652715463E-05,    0.1673545776E-03
    0.9700840484E+00,    0.3086963964E-03,    0.9323279829E-05,    0.1677121517E-03
    0.9700840484E+00,    0.3182698926E-03,    0.9006111737E-05,    0.1680537776E-03
    0.9700840484E+00,    0.3281394786E-03,    0.8700708407E-05,    0.1683799374E-03
    0.9700840484E+00,    0.3383143362E-03,    0.8406589886E-05,    0.1686910880E-03
    0.9700840484E+00,    0.3488039309E-03,    0.8123297928E-05,    0.1689876620E-03
    0.9700840484E+00,    0.3596180216E-03,    0.7850394918E-05,    0.1692700685E-03
    0.9700840484E+00,    0.3707666685E-03,    0.7587462867E-05,    0.1695386940E-03
    0.9700840484E+00,    0.3822602435E-03,    0.7334102449E-05,    0.1697939029E-03
    0.9700840484E+00,    0.3941094390E-03,    0.7089932087E-05,    0.1700360387E-03
    0.9700840484E+00,    0.4063252786E-03,    0.6854587098E-05,    0.1702654241E-03
    0.9700840484E+00,    0.4189191268E-03,    0.6627718864E-05,    0.1704823622E-03
    0.9700840484E+00,    0.4319026996E-03,    0.6408994065E-05,    0.1706871368E-03
    0.9700840484E+00,    0.4452880760E-03,    0.6198093932E-05,    0.1708800129E-03
    0.9700840484E+00,    0.4590877084E-03,    0.5994713560E-05,    0.1710612375E-03
    0.9700840484E+00,    0.4733144347E-03,    0.5798561237E-05,    0.1712310400E-03
    0.9700840484E+00,    0.4879814904E-03,    0.5609357817E-05,    0.1713896326E-03
    0.9700840484E+00,    0.5031025201E-03,    0.5426836126E-05,    0.1715372108E-03
    0.9700840484E+00,    0.5186915913E-03,    0.5250740396E-05,    0.1716739537E-03
    0.9700840484E+00,    0.5347632065E-03,    0.5080825725E-05,    0.1718000246E-03
    0.9700840484E+00,    0.5513323174E-03,    0.4916857573E-05,    0.1719155710E-03
    0.9700840484E+00,    0.5684143384E-03,    0.4758611271E-05,    0.1720207255E-03
    0.9700840484E+00,    0.5860251610E-03,    0.4605871572E-05,    0.1721156052E-03
    0.9700840484E+00,    0.6041811688E-03,    0.4458432205E-05,    0.1722003128E-03
    0.9700840484E+00,    0.6228992525E-03,    0.4316095470E-05,    0.1722749363E-03
    0.9700840484E+00,    0.6421968257E-03,    0.4178671840E-05,    0.1723395495E-03
    0.9700840484E+00,    0.6620918412E-03,    0.4045979589E-05,    0.1723942120E-03
    0.9700840484E+00,    0.6826028075E-03,    0.3917844438E-05,    0.1724389692E-03
    0.9700840484E+00,    0.7037488061E-03,    0.3794099221E-05,    0.1724738530E-03
    0.9700840484E+00,    0.7255495094E-03,    0.3674583560E-05,    0.1724988811E-03
    0.9700840484E+00,    0.7480251988E-03,    0.3559143564E-05,    0.1725140577E-03
    0.9700840484E+00,    0.7711967837E-03,    0.3447631540E-05,    0.1725193733E-03
    0.9700840484E+00,    0.7950858208E-03,    0.3339905718E-05,    0.1725148045E-03
    0.9700840484E+00,    0.8197145343E-03,    0.3235829989E-05,    0.1725003145E-03
    0.9700840484E+00,    0.8451058367E-03,    0.3135273657E-05,    0.1724758525E-03
    0.9700840484E+00,    0.8712833496E-03,    0.3038111203E-05,    0.1724413541E-03
    0.9700840484E+00,    0.8982714263E-03,    0.2944222059E-05,    0.1723967409E-03
    0.9700840484E+00,    0.9260951740E-03,    0.2853490397E-05,    0.1723419205E-03
    0.9700840484E+00,    0.9547804775E-03,    0.2765804920E-05,    0.1722767865E-03
    0.9700840484E+00,    0.9843540231E-03,    0.2681058674E-05,    0.1722012178E-03
    0.9700840484E+00,    0.1014843323E-02,    0.2599148860E-05,    0.1721150791E-03
    0.9700840484E+00,    0.1046276742E-02,    0.2519976657E-05,    0.1720182203E-03
    0.9700840484E+00,    0.1078683524E-02,    0.2443447061E-05,    0.1719104760E-03
    0.9700840484E+00,    0.1112093815E-02,    0.2369468717E-05,    0.1717916658E-03
    0.9700840484E+00,    0.1146538699E-02,    0.2297953773E-05,    0.1716615934E-03
    0.9700840484E+00,    0.1182050219E-02,    0.2228817735E-05,    0.1715200466E-03
    0.9700840484E+00,    0.1218661412E-02,    0.2161979327E-05,    0.1713667968E-03
    0.9700840484E+00,    0.1256406339E-02,    0.2097360358E-05,    0.1712015984E-03
    0.9700840484E+00,    0.1295320114E-02,    0.2034885604E-05,    0.1710241886E-03
    0.9700840484E+00,    0.1335438937E-02,    0.1974482680E-05,    0.1708342867E-03
    0.9700840484E+00,    0.1376800134E-02,    0.1916081932E-05,    0.1706315935E-03
    0.9700840484E+00,    0.1419442181E-02,    0.1859616326E-05,    0.1704157910E-03
    0.9700840484E+00,    0.1463404750E-02,    0.1805021345E-05,    0.1701865412E-03
    0.9700840484E+00,    0.1508728740E-02,    0.1752234892E-05,    0.1699434861E-03
    0.9700840484E+00,    0.1555456315E-02,    0.1701197194E-05,    0.1696862462E-03
    0.9700840484E+00,    0.1603630947E-02,    0.1651850712E-05,    0.1694144203E-03
    0.9700840484E+00,    0.1653297453E-02,    0.1604140059E-05,    0.1691275842E-03
    0.9700840484E+00,    0.1704502039E-02,    0.1558011916E-05,    0.1688252899E-03
    0.9700840484E+00,    0.1757292340E-02,    0.1513414955E-05,    0.1685070647E-03
    0.9700840484E+00,    0.1811717468E-02,    0.1470299765E-05,    0.1681724100E-03
    0.9700840484E+00,    0.1867828056E-02,    0.1428618783E-05,    0.1678207999E-03
    0.9700840484E+00,    0.1925676303E-02,    0.1388326226E-05,    0.1674516804E-03
    0.9700840484E+00,    0.1985316026E-02,    0.1349378028E-05,    0.1670644678E-03
    0.9700840484E+00,    0.2046802709E-02,    0.1311731780E-05,    0.1666585472E-03
    0.9700840484E+00,    0.2110193553E-02,    0.1275346673E-05,    0.1662332710E-03
    0.9700840484E+00,    0.2175547532E-02,    0.1240183442E-05,    0.1657879573E-03
    0.9700840484E+00,    0.2242925446E-02,    0.1206204317E-05,    0.1653218880E-03
    0.9700840484E+00,    0.2312389975E-02,    0.1173372973E-05,    0.1648343071E-03
    0.9700840484E+00,    0.2384005744E-02,    0.1141654485E-05,    0.1643244184E-03
    0.9700840484E+00,    0.2457839379E-02,    0.1111015284E-05,    0.1637913833E-03
    0.9700840484E+00,    0.2533959566E-02,    0.1081423119E-05,    0.1632343189E-03
    0.9700840484E+00,    0.2612437122E-02,    0.1052847015E-05,    0.1626522947E-03
    0.9700840484E+00,    0.2693345054E-02,    0.1025257245E-05,    0.1620443308E-03
    0.9700840484E+00,    0.2776758633E-02,    0.9986252900E-06,    0.1614093941E-03
    0.9700840484E+00,    0.2862755459E-02,    0.9729238161E-06,    0.1607463960E-03
    0.9700840484E+00,    0.2951415535E-02,    0.9481266439E-06,    0.1600541887E-03
    0.9700840484E+00,    0.3042821343E-02,    0.9242087265E-06,    0.1593315619E-03
    0.9700840484E+00,    0.3137057920E-02,    0.9011461284E-06,    0.1585772387E-03
    0.9700840484E+00,    0.3234212933E-02,    0.8789160081E-06,    0.1577898721E-03
    0.9700840484E+00,    0.3334376767E-02,    0.8574966040E-06,    0.1569680406E-03
    0.9700840484E+00,    0.3437642606E-02,    0.8368672238E-06,    0.1561102437E-03
    0.9700840484E+00,    0.3544106519E-02,    0.8170082383E-06,    0.1552148974E-03
    0.9700840484E+00,    0.3653867550E-02,    0.7979010787E-06,    0.1542803293E-03
    0.9700840484E+00,    0.3767027811E-02,    0.7795282395E-06,    0.1533047734E-03
    0.9700840484E+00,    0.3883692577E-02,    0.7618732862E-06,    0.1522863648E-03
    0.9700840484E+00,    0.4003970382E-02,    0.7449208693E-06,    0.1512231349E-03
    0.9700840484E+00,    0.4127973121E-02,    0.7286567446E-06,    0.1501130052E-03
    0.9700840484E+00,    0.4255816156E-02,    0.7130678024E-06,    0.1489537829E-03
    0.9700840484E+00,    0.4387618419E-02,    0.6981421047E-06,    0.1477431551E-03
    0.9700840484E+00,    0.4523502529E-02,    0.6838689334E-06,    0.1464786845E-03
    0.9700840484E+00,    0.4663594900E-02,    0.6702388508E-06,    0.1451578050E-03
    0.9700840484E+00,    0.4808025860E-02,    0.6572430452E-06,    0.1437777211E-03
    0.9700840484E+00,    0.4956929776E-02,    0.6448647345E-06,    0.1423341602E-03
    0.9700840484E+00,    0.5110445174E-02,    0.6330727702E-06,    0.1408205096E-03
    0.9700840484E+00,    0.5268714871E-02,    0.6218315455E-06,    0.1392288977E-03
    0.9700840484E+00,    0.5431886107E-02,    0.6111095913E-06,    0.1375511682E-03
    0.9700840484E+00,    0.5600110683E-02,    0.6008791830E-06,    0.1357791058E-03
    0.9700840484E+00,    0.5773545098E-02,    0.5911152149E-06,    0.1339044734E-03
    0.9700840484E+00,    0.5952350701E-02,    0.5817941510E-06,    0.1319189379E-03
    0.9700840484E+00,    0.6136693837E-02,    0.5728929660E-06,    0.1298138977E-03
    0.9700840484E+00,    0.6326746002E-02,    0.5643879978E-06,    0.1275802228E-03
    0.9700840484E+00,    0.6522684003E-02,    0.5562536503E-06,    0.1252079232E-03
    0.9700840484E+00,    0.6724690123E-02,    0.5484609073E-06,    0.1226857623E-03
    0.9700840484E+00,    0.6932952291E-02,    0.5409756353E-06,    0.1200008385E-03
    0.9700840484E+00,    0.7147664256E-02,    0.5337566517E-06,    0.1171381669E-03
    0.9700840484E+00,    0.7369025765E-02,    0.5267535326E-06,    0.1140803042E-03
