# u+ vs. y+ at Re-theta = 10000, from Coles velocity law
# along with van Driest damping near wall
# (see Bardina et al, NASA TM 110446, April 1997)
yp,up
0.5800236979497903E+01,   0.5558472571268808E+01
0.5900241065351316E+01,   0.5640892568035528E+01
0.6000245151204727E+01,   0.5722514041154928E+01
0.6100249237058139E+01,   0.5803329571998280E+01
0.6200253322911552E+01,   0.5883332804151714E+01
0.6300257408764963E+01,   0.5962518418667240E+01
0.6400261494618376E+01,   0.6040882105292332E+01
0.6500265580471788E+01,   0.6118420530252317E+01
0.6600269666325200E+01,   0.6195131301141974E+01
0.6700273752178612E+01,   0.6271012929458885E+01
0.6800277838032025E+01,   0.6346064791280488E+01
0.6900281923885436E+01,   0.6420287086553911E+01
0.7000286009738849E+01,   0.6493680797429887E+01
0.7100290095592261E+01,   0.6566247646035391E+01
0.7200294181445673E+01,   0.6637990052039441E+01
0.7300298267299085E+01,   0.6708911090328760E+01
0.7400302353152497E+01,   0.6779014449072059E+01
0.7500306439005909E+01,   0.6848304388414923E+01
0.7600310524859322E+01,   0.6916785699989592E+01
0.7700314610712733E+01,   0.6984463667524407E+01
0.7800318696566146E+01,   0.7051344028503740E+01
0.7900322782419558E+01,   0.7117432937147993E+01
0.8000326868272969E+01,   0.7182736928771857E+01
0.8100330954126383E+01,   0.7247262885570730E+01
0.8200335039979795E+01,   0.7311018003897790E+01
0.8300339125833206E+01,   0.7374009763052082E+01
0.8400343211686618E+01,   0.7436245895603878E+01
0.8500347297540031E+01,   0.7497734359253337E+01
0.8600351383393443E+01,   0.7558483310213085E+01
0.8700355469246855E+01,   0.7618501078095073E+01
0.8800359555100266E+01,   0.7677796142272308E+01
0.8900363640953680E+01,   0.7736377109680719E+01
0.9000367726807092E+01,   0.7794252694019713E+01
0.9100371812660503E+01,   0.7851431696305858E+01
0.9200375898513915E+01,   0.7907922986730898E+01
0.9300379984367327E+01,   0.7963735487772871E+01
0.9400384070220740E+01,   0.8018878158506855E+01
0.9500388156074152E+01,   0.8073359980061875E+01
0.9600392241927564E+01,   0.8127189942168998E+01
0.9700396327780975E+01,   0.8180377030746836E+01
0.9800400413634389E+01,   0.8232930216469528E+01
0.9900404499487800E+01,   0.8284858444265724E+01
0.1000040858534121E+02,   0.8336170623695477E+01
0.1010041267119462E+02,   0.8386875620139376E+01
0.1020041675704804E+02,   0.8436982246820884E+01
0.1030042084290145E+02,   0.8486499257499448E+01
0.1040042492875486E+02,   0.8535435339862525E+01
0.1050042901460827E+02,   0.8583799109577937E+01
0.1060043310046169E+02,   0.8631599104938646E+01
0.1070043718631510E+02,   0.8678843782068624E+01
0.1080044127216851E+02,   0.8725541510651560E+01
0.1090044535802192E+02,   0.8771700570146885E+01
0.1100044944387533E+02,   0.8817329146458826E+01
0.1110045352972875E+02,   0.8862435329026304E+01
0.1120045761558216E+02,   0.8907027108302744E+01
0.1130046170143557E+02,   0.8951112373597784E+01
0.1140046578728898E+02,   0.8994698911253352E+01
0.1150046987314239E+02,   0.9037794403128785E+01
0.1160047395899581E+02,   0.9080406425370679E+01
0.1170047804484922E+02,   0.9122542447446046E+01
0.1180048213070263E+02,   0.9164209831416457E+01
0.1190048621655604E+02,   0.9205415831434523E+01
0.1200049030240945E+02,   0.9246167593443813E+01
0.1210049438826287E+02,   0.9286472155065137E+01
0.1220049847411628E+02,   0.9326336445653070E+01
0.1230050255996969E+02,   0.9365767286508072E+01
0.1240050664582310E+02,   0.9404771391229680E+01
0.1250051073167652E+02,   0.9443355366198595E+01
0.1260051481752993E+02,   0.9481525711165601E+01
0.1270051890338334E+02,   0.9519288819975518E+01
0.1280052298923675E+02,   0.9556650981359255E+01
0.1290052707509016E+02,   0.9593618379804441E+01
0.1300053116094358E+02,   0.9630197096522492E+01
0.1310053524679699E+02,   0.9666393110476049E+01
0.1320053933265040E+02,   0.9702212299466376E+01
0.1330054341850381E+02,   0.9737660441274224E+01
0.1340054750435722E+02,   0.9772743214847235E+01
0.1350055159021064E+02,   0.9807466201527513E+01
0.1360055567606405E+02,   0.9841834886314716E+01
0.1370055976191746E+02,   0.9875854659158504E+01
0.1380056384777087E+02,   0.9909530816276339E+01
0.1390056793362429E+02,   0.9942868561492075E+01
0.1400057201947770E+02,   0.9975873007591050E+01
0.1410057610533111E+02,   0.1000854917768851E+02
0.1420058019118452E+02,   0.1004090200660779E+02
0.1430058427703793E+02,   0.1007293634226510E+02
0.1440058836289135E+02,   0.1010465694705823E+02
0.1450059244874476E+02,   0.1013606849925675E+02
0.1460059653459817E+02,   0.1016717559439095E+02
0.1470060062045158E+02,   0.1019798274663784E+02
0.1480060470630499E+02,   0.1022849439020227E+02
0.1490060879215841E+02,   0.1025871488069110E+02
0.1500061287801182E+02,   0.1028864849647907E+02
0.1510061696386523E+02,   0.1031829944005992E+02
