x,y,sdr,tke
 9.701266289E-01, 9.188822878E-05, 4.082233136E-05, 1.327765058E-04
 9.701266289E-01, 9.477823914E-05, 3.920174640E-05, 1.345141063E-04
 9.701266289E-01, 9.775641956E-05, 3.765133442E-05, 1.361807663E-04
 9.701266289E-01, 1.008255422E-04, 3.616850154E-05, 1.377792069E-04
 9.701266289E-01, 1.039884592E-04, 3.475073390E-05, 1.393122657E-04
 9.701266289E-01, 1.072481246E-04, 3.339544492E-05, 1.407830568E-04
 9.701266289E-01, 1.106075651E-04, 3.209972783E-05, 1.421949419E-04
 9.701266289E-01, 1.140699023E-04, 3.086002107E-05, 1.435517042E-04
 9.701266289E-01, 1.176383594E-04, 2.967311593E-05, 1.448565017E-04
 9.701266289E-01, 1.213162541E-04, 2.853658407E-05, 1.461111242E-04
 9.701266289E-01, 1.251070062E-04, 2.744810263E-05, 1.473173179E-04
 9.701266289E-01, 1.290141663E-04, 2.640546518E-05, 1.484768291E-04
 9.701266289E-01, 1.330413361E-04, 2.540656897E-05, 1.495913166E-04
 9.701266289E-01, 1.371922699E-04, 2.444941128E-05, 1.506624540E-04
 9.701266289E-01, 1.414708386E-04, 2.353209129E-05, 1.516917982E-04
 9.701266289E-01, 1.458810293E-04, 2.265279181E-05, 1.526809501E-04
 9.701266289E-01, 1.504269312E-04, 2.180979027E-05, 1.536313794E-04
 9.701266289E-01, 1.551127643E-04, 2.100144229E-05, 1.545445266E-04
 9.701266289E-01, 1.599429088E-04, 2.022618719E-05, 1.554218179E-04
 9.701266289E-01, 1.649218466E-04, 1.948253339E-05, 1.562646066E-04
 9.701266289E-01, 1.700542198E-04, 1.876906572E-05, 1.570741588E-04
 9.701266289E-01, 1.753448014E-04, 1.808443449E-05, 1.578517695E-04
 9.701266289E-01, 1.807984954E-04, 1.742735731E-05, 1.585986174E-04
 9.701266289E-01, 1.864203950E-04, 1.679660818E-05, 1.593158377E-04
 9.701266289E-01, 1.922157098E-04, 1.619102659E-05, 1.600045653E-04
 9.701266289E-01, 1.981898677E-04, 1.560950295E-05, 1.606658479E-04
 9.701266289E-01, 2.043483837E-04, 1.505098226E-05, 1.613006898E-04
 9.701266289E-01, 2.106970205E-04, 1.451445951E-05, 1.619100949E-04
 9.701266289E-01, 2.172416571E-04, 1.399897701E-05, 1.624949655E-04
 9.701266289E-01, 2.239884052E-04, 1.350362436E-05, 1.630562183E-04
 9.701266289E-01, 2.309435367E-04, 1.302753117E-05, 1.635946537E-04
 9.701266289E-01, 2.381135128E-04, 1.256986980E-05, 1.641111303E-04
 9.701266289E-01, 2.455050126E-04, 1.212985444E-05, 1.646064047E-04
 9.701266289E-01, 2.531248902E-04, 1.170673113E-05, 1.650811901E-04
 9.701266289E-01, 2.609802759E-04, 1.129978409E-05, 1.655362430E-04
 9.701266289E-01, 2.690784459E-04, 1.090832939E-05, 1.659721893E-04
 9.701266289E-01, 2.774269378E-04, 1.053171673E-05, 1.663896983E-04
 9.701266289E-01, 2.860335226E-04, 1.016932674E-05, 1.667893521E-04
 9.701266289E-01, 2.949062036E-04, 9.820564628E-06, 1.671717328E-04
 9.701266289E-01, 3.040532465E-04, 9.484866496E-06, 1.675374078E-04
 9.701266289E-01, 3.134831495E-04, 9.161693015E-06, 1.678868866E-04
 9.701266289E-01, 3.232046729E-04, 8.850530321E-06, 1.682206639E-04
 9.701266289E-01, 3.332268971E-04, 8.550887287E-06, 1.685392053E-04
 9.701266289E-01, 3.435591352E-04, 8.262292795E-06, 1.688429620E-04
 9.701266289E-01, 3.542109625E-04, 7.984303011E-06, 1.691323559E-04
 9.701266289E-01, 3.651923325E-04, 7.716486834E-06, 1.694077800E-04
 9.701266289E-01, 3.765134607E-04, 7.458438631E-06, 1.696696127E-04
 9.701266289E-01, 3.881848534E-04, 7.209766409E-06, 1.699181885E-04
 9.701266289E-01, 4.002173664E-04, 6.970097729E-06, 1.701538858E-04
 9.701266289E-01, 4.126222047E-04, 6.739076525E-06, 1.703769667E-04
 9.701266289E-01, 4.254109226E-04, 6.516361282E-06, 1.705877658E-04
 9.701266289E-01, 4.385953944E-04, 6.301626399E-06, 1.707865304E-04
 9.701266289E-01, 4.521879018E-04, 6.094561286E-06, 1.709735079E-04
 9.701266289E-01, 4.662010761E-04, 5.894865808E-06, 1.711489749E-04
 9.701266289E-01, 4.806479556E-04, 5.702256203E-06, 1.713131205E-04
 9.701266289E-01, 4.955420154E-04, 5.516459169E-06, 1.714661630E-04
 9.701266289E-01, 5.108970799E-04, 5.337213224E-06, 1.716082770E-04
 9.701266289E-01, 5.267274100E-04, 5.164267805E-06, 1.717396372E-04
